message,reaction
"She plucks the withered leaf from the balsam, and looks at the grass-covered rampart, on which many children are playing.",sadness
What is the old maid thinking of?,sadness
"""The poor little children, how happy they are- how merrily they play and romp together!",joy
What red cheeks and what angels' eyes! but they have no shoes nor stockings.,sadness
"The little people who now play on that spot know nothing of the old tale, else would they fancy they heard a child crying deep below the earth, and the dewdrops on each blade of grass would be to them tears of woe.",joy
"Nor do they know anything of the Danish King who here, in the face of the coming foe, took an oath before all his trembling courtiers that he would hold out with the citizens of his capital, and die here in his nest; they know nothing of the men who have fought here, or of the women who from here have drenched with boiling water the enemy, clad in white, and 'biding in the snow to surprise the city.",sadness
"""No! the poor little ones are playing with light, childish spirits.",sadness
"Play on, play on, thou little maiden!",sadness
The priestly hands have been laid on the candidates for confirmation; hand in hand they walk on the green rampart.,sadness
"Thou hast a white frock on; it has cost thy mother much labor, and yet it is only cut down for thee out of an old larger dress!",sadness
You will also wear a red shawl; and what if it hang too far down?,anger
"People will only see how large, how very large it is.",sadness
"You are thinking of your dress, and of the Giver of all good- so glorious is it to wander on the green rampart!",joy
"""And the years roll by; they have no lack of dark days, but you have your cheerful young spirit, and you have gained a friend- you know not how.",joy
"You met, oh, how often!",surprise
"You walk together on the rampart in the fresh spring, on the high days and holidays, when all the world come out to walk upon the ramparts, and all the bells of the church steeples seem to be singing a song of praise for the coming spring.",joy
Alas!,sadness
It is not so with the human heart!,sadness
"Dark mists, more in number than those that cover the northern skies, cloud the human heart.",sadness
"Poor child! thy friend's bridal chamber is a black coffin, and thou becomest an old maid.",sadness
"From the almshouse window, behind the balsams, thou shalt look on the merry children at play, and shalt see thine own history renewed.""",sadness
"And that is the life drama that passes before the old maid while she looks out upon the rampart, the green, sunny rampart, where the children, with their red cheeks and bare shoeless feet, are rejoicing merrily, like the other free little birds.",sadness
"""WHENEVER a good child dies, an angel of God comes down from heaven, takes the dead child in his arms, spreads out his great white wings, and flies with him over all the places which the child had loved during his life.",sadness
"Then he gathers a large handful of flowers, which he carries up to the Almighty, that they may bloom more brightly in heaven than they do on earth.",joy
"And the Almighty presses the flowers to His heart, but He kisses the flower that pleases Him best, and it receives a voice, and is able to join the song of the chorus of bliss.""",joy
"Then they passed over well-known spots, where the little one had often played, and through beautiful gardens full of lovely flowers.",joy
"""Which of these shall we take with us to heaven to be transplanted there?"" asked the angel.",joy
"Close by grew a slender, beautiful, rose-bush, but some wicked hand had broken the stem, and the half-opened rosebuds hung faded and withered on the trailing branches.",sadness
"""Poor rose-bush!"" said the child, ""let us take it with us to heaven, that it may bloom above in God's garden.""",sadness
"The angel took up the rose-bush; then he kissed the child, and the little one half opened his eyes.",joy
"The angel gathered also some beautiful flowers, as well as a few humble buttercups and heart's-ease.",joy
"""Now we have flowers enough,"" said the child; but the angel only nodded, he did not fly upward to heaven.",joy
"There lay fragments of plates, pieces of plaster, rags, old hats, and other rubbish not pleasant to see.",anger
"Amidst all this confusion, the angel pointed to the pieces of a broken flower-pot, and to a lump of earth which had fallen out of it.",sadness
"The earth had been kept from falling to pieces by the roots of a withered field-flower, which had been thrown amongst the rubbish.",sadness
"""We will take this with us,"" said the angel, ""I will tell you why as we fly along.""",joy
"""Down in that narrow lane, in a low cellar, lived a poor sick boy; he had been afflicted from his childhood, and even in his best days he could just manage to walk up and down the room on crutches once or twice, but no more.",sadness
"In this spot the poor sick boy would sit warming himself in the sunshine, and watching the red blood through his delicate fingers as he held them before his face.",sadness
"Then he would say he had been out, yet he knew nothing of the green forest in its spring verdure, till a neighbor's son brought him a green bough from a beech-tree.",surprise
"This he would place over his head, and fancy that he was in the beech-wood while the sun shone, and the birds carolled gayly.",joy
"One spring day the neighbor's boy brought him some field-flowers, and among them was one to which the root still adhered.",surprise
"This he carefully planted in a flower-pot, and placed in a window-seat near his bed.",joy
"And the flower had been planted by a fortunate hand, for it grew, put forth fresh shoots, and blossomed every year.",joy
"It became a splendid flower-garden to the sick boy, and his little treasure upon earth.",joy
"He watered it, and cherished it, and took care it should have the benefit of every sunbeam that found its way into the cellar, from the earliest morning ray to the evening sunset.",joy
"The flower entwined itself even in his dreams- for him it bloomed, for him spread its perfume.",joy
"And it gladdened his eyes, and to the flower he turned, even in death, when the Lord called him.",joy
He has been one year with God.,sadness
"During that time the flower has stood in the window, withered and forgotten, till at length cast out among the sweepings into the street, on the day of the lodgers' removal.",sadness
"And this poor flower, withered and faded as it is, we have added to our nosegay, because it gave more real joy than the most beautiful flower in the garden of a queen.""",joy
"""But how do you know all this?"" asked the child whom the angel was carrying to heaven.",surprise
"""I know it,"" said the angel, ""because I myself was the poor sick boy who walked upon crutches, and I know my own flower well.""",joy
"Then the child opened his eyes and looked into the glorious happy face of the angel, and at the same moment they found themselves in that heavenly home where all is happiness and joy.",joy
"And God pressed the dead child to His heart, and wings were given him so that he could fly with the angel, hand in hand.",joy
"Then the Almighty pressed all the flowers to His heart; but He kissed the withered field-flower, and it received a voice.",joy
"Then it joined in the song of the angels, who surrounded the throne, some near, and others in a distant circle, but all equally happy.",joy
"They all joined in the chorus of praise, both great and small,- the good, happy child, and the poor field-flower, that once lay withered and cast away on a heap of rubbish in a narrow, dark street.",joy
"Then he would cry, but what nobody knows nobody cares for; so he would cry till he was tired, and then fall asleep; and while we are asleep we can feel neither hunger nor thirst.",sadness
"If he went near the farmyard belonging to the count, he was pushed and knocked about, for the men and the maids said he was so horrible ugly; but he was used to all this, for nobody loved him.",sadness
"Her beautiful, noble child had been a dear angel, and possessed the kindest heart; he had loved her so much, and she had loved him in return; they had kissed and loved each other, and the boy had been her joy, her second life.",joy
"Certainly he must long to see me, too, the young count; no doubt he thinks of me and loves me, as in those days when he would fling his angel-arms round my neck, and lisp 'Anne Liz.'",joy
It was music to my ears.,joy
"It was as great and magnificent as it had always been, and the garden looked the same as ever; all the servants were strangers to her, not one of them knew Anne Lisbeth, nor of what consequence she had once been there; but she felt sure the countess would soon let them know it, and her darling boy, too: how she longed to see him!",joy
"""Well, well,"" he said; and with that he walked out of the room.",anger
"Anne Lisbeth went forth from the castle into the public road, feeling mournful and sad; he whom she had nursed day and night, and even now carried about in her dreams, had been cold and strange, and had not a word or thought respecting her.",sadness
"""Ah,"" said she, ""what bird of ill omen art thou?""",sadness
"She felt very low-spirited, because her count-child had shown no inclination to speak to her who loved him so well, and who had travelled so far to see him.",sadness
"The journey had cost money too, and she had derived no great pleasure from it.",sadness
"""The black wretch!"" said Anne Lisbeth, ""he will end by frightening me today.""",anger
"""Stop! stop!"" and the words came quite clear, though they were like the croak of a frog, or the wail of a bird.",anger
"""A grave! dig me a grave!""",anger
"He nodded, and pointed to Anne Lisbeth, crying out, ""Hold fast! hold fast! and then you may ride again in a nobleman's carriage, and forget your child.""",anger
"In the face of Anne Lisbeth, lighted up by the evening sun, could be seen peace and rest.",joy
"She said she was happy now, for she had conquered.",joy
"""Now I am in the house of God,"" she said, ""and in that house we are happy.""",joy
"When the sun set, Anne Lisbeth's soul had risen to that region where there is no more pain; and Anne Lisbeth's troubles were at an end.",joy
"The branch well knew how beautiful it was; this knowledge exists as much in the leaf as in the blood; I was therefore not surprised when a nobleman's carriage, in which sat the young countess, stopped in the road just by.",joy
"She said that an apple-branch was a most lovely object, and an emblem of spring in its most charming aspect.",joy
"""Poor, despised herbs,"" said the apple-branch; ""there is really a difference between them and such as I am.",anger
"And the apple-branch looked with a sort of pity upon them, especially on a certain little flower that is found in fields and in ditches.",sadness
"""A difference!"" cried the sunbeam, as he kissed the blooming apple-branch, and then kissed the yellow dandelion out in the fields.",surprise
"""You do not see very far, nor very clearly,"" he said to the apple-branch.",anger
"""Which is the despised plant you so specially pity?""",anger
"""No one ever places it in a nosegay; it is often trodden under foot, there are so many of them; and when they run to seed, they have flowers like wool, which fly away in little pieces over the roads, and cling to the dresses of the people.",anger
They are only weeds; but of course there must be weeds.,anger
"O, I am really very thankful that I was not made like one of these flowers.""",joy
"There came presently across the fields a whole group of children, the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass, among the yellow flowers, he laughed aloud with joy, kicked out his little legs, rolled about, plucked the yellow flowers, and kissed them in childlike innocence.",joy
"""Do you see,"" said the sunbeam, ""do you see the beauty of these flowers? do you see their powers of giving pleasure?""",joy
"""See,"" she exclaimed, ""how wonderfully God has made this little flower.",joy
I will paint it with the apple-branch together.,joy
"But inside the church the pastor stood in the pulpit, and spoke very loudly and angrily.",anger
"He said that all men were wicked, and God would punish them for their sins, and that the wicked, when they died, would be cast into hell, to burn for ever and ever.",anger
"He spoke very excitedly, saying that their evil propensities would not be destroyed, nor would the fire be extinguished, and they should never find rest.",anger
"Meanwhile, the birds sang merrily outside, and the sun was shining so beautifully warm, it seemed as though every little flower said: ""God, Thy kindness towards us all is without limits.""",joy
"The same evening, upon going to bed, the pastor noticed his wife sitting there quiet and pensive.",sadness
"I am only a woman and a sinner before God, but I should not have the heart to let even the worst sinner burn for ever, and how could our Lord to do so, who is so infinitely good, and who knows how the wickedness comes from without and within?",sadness
"No, I am unable to imagine that, although you say so.""",surprise
"She was buried; two large tears rolled over the cheeks of the earnest man, and in the parsonage it was empty and still, for its sun had set for ever.",sadness
"She fixed her eyes upon him with such a kind and sad expression, just as if she wished to say something to him.",sadness
"The pastor raised himself in bed and stretched his arms towards her, saying, ""Not even you can find eternal rest!",surprise
"You suffer, you best and most pious woman?""",surprise
"""And can I not obtain rest in the grave for you?""",surprise
"""Yes, therein, as I believed, as I knew it,"" said the pastor, ""are living those who are abandoned to the eternal fire.""",surprise
"What he thought was sufficiently expressed in his features and movements: ""Miserable beggars, who are looking in, you are nothing in comparison to me.""",anger
"""He is but a poor fool, and not doomed to be tortured eternally by fire!""",surprise
"""Only a fool!""",surprise
"""He is ill!",surprise
"That is madness- a joyless madness- besieged by fear and dreadful dreams!""",surprise
"Like a ferocious animal, one of them rose out of his sleep and uttered a horrible cry, and gave his comrade a violent dig in the ribs with his pointed elbow, and this one turned round in his sleep: ""Be quiet, monster- sleep!",anger
"This happens every night!""",anger
"""Every night!"" repeated the other.",anger
"""Yes, every night he comes and tortures me!",anger
"I myself helped to rescue cattle and things, nothing alive burnt, except a flight of pigeons, which flew into the fire, and the yard dog, of which I had not thought; one could hear him howl out of the fire, and this howling I still hear when I wish to sleep; and when I have fallen asleep, the great rough dog comes and places himself upon me, and howls, presses, and tortures me.",sadness
"You can snore; you are snoring the whole night, and I hardly a quarter of an hour!""",anger
"And the blood rose to the head of the excited criminal; he threw himself upon his comrade, and beat him with his clenced fist in the face.",anger
"""Wicked Matz has become mad again!"" they said amongst themselves.",anger
"""You are killing the unfortunate man,"" said the pastor, and as he stretched out his hand to protect him who already suffered too much, the scene changed.",sadness
"""I have it now!"" said the dead woman.",joy
"He talked and told anecdotes, and every one listened to him with pleasure, not unmingled with awe; but none felt so much respect for him as did the elderly widow of a naval officer.",joy
"""I should like to see Rome,"" she said; ""it must be a lovely city, or so many foreigners would not be constantly arriving there.",joy
"""An organist!"" exclaimed the lady, who had never heard the word 'obelisk.'",surprise
"Several of the guests could scarcely forbear laughing, and the sculptor would have had some difficulty in keeping his countenance, but the smile on his lips faded away; for he caught sight of a pair of dark-blue eyes close by the side of the inquisitive lady.",joy
"She was a study for the sculptor to contemplate, but not to converse with; for she did not speak, or, at least, very seldom.",joy
"""I don't like that,"" was the lady's remark.",anger
"Mr. Alfred again spoke of Italy, and of the glorious colors in Italian scenery; the purple hills, the deep blue of the Mediterranean, the azure of southern skies, whose brightness and glory could only be surpassed in the north by the deep-blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it, which also was charming.",joy
"""Beautiful Italy!"" sighed some of the guests.",joy
"""Oh, to travel there!"" exclaimed others.",joy
"Charming!"" echoed from every voice.",joy
"""I may perhaps win a hundred thousand dollars in the lottery,"" said the naval officer's widow; ""and if I do, we will travel- I and my daughter; and you, Mr. Alfred, must be our guide.",joy
"We can all three travel together, with one or two more of our good friends.""",joy
"And she nodded in such a friendly way at the company, that each imagined himself to be the favored person who was to accompany them to Italy.",joy
