message,reaction
she plucks the withered leaf from the balsam and looks at the grass covered rampart on which many children are playing .,sadness
what is the old maid thinking of ?,sadness
the poor little children how happy they are how merrily they play and romp together !,joy
what red cheeks and what angels ' eyes ! but they have no shoes nor stockings .,sadness
the little people who now play on that spot know nothing of the old tale else would they fancy they heard a child crying deep below the earth and the dewdrops on each blade of grass would be to them tears of woe .,joy
nor do they know anything of the danish king who here in the face of the coming foe took an oath before all his trembling courtiers that he would hold out with the citizens of his capital and die here in his nest; they know nothing of the men who have fought here or of the women who from here have drenched with boiling water the enemy clad in white and ' biding in the snow to surprise the city .,sadness
no ! the poor little ones are playing with light childish spirits .,sadness
play on play on thou little maiden !,sadness
the priestly hands have been laid on the candidates for confirmation; hand in hand they walk on the green rampart .,sadness
thou hast a white frock on; it has cost thy mother much labor and yet it is only cut down for thee out of an old larger dress !,sadness
you will also wear a red shawl; and what if it hang too far down ?,anger
people will only see how large how very large it is .,sadness
you are thinking of your dress and of the giver of all good so glorious is it to wander on the green rampart !,joy
and the years roll by; they have no lack of dark days but you have your cheerful young spirit and you have gained a friend you know not how .,joy
you met oh how often !,surprise
you walk together on the rampart in the fresh spring on the high days and holidays when all the world come out to walk upon the ramparts and all the bells of the church steeples seem to be singing a song of praise for the coming spring .,joy
alas !,sadness
it is not so with the human heart !,sadness
dark mists more in number than those that cover the northern skies cloud the human heart .,sadness
poor child ! thy friend ' s bridal chamber is a black coffin and thou becomest an old maid .,sadness
from the almshouse window behind the balsams thou shalt look on the merry children at play and shalt see thine own history renewed .,sadness
and that is the life drama that passes before the old maid while she looks out upon the rampart the green sunny rampart where the children with their red cheeks and bare shoeless feet are rejoicing merrily like the other free little birds .,sadness
whenever a good child dies an angel of god comes down from heaven takes the dead child in his arms spreads out his great white wings and flies with him over all the places which the child had loved during his life .,sadness
then he gathers a large handful of flowers which he carries up to the almighty that they may bloom more brightly in heaven than they do on earth .,joy
and the almighty presses the flowers to his heart but he kisses the flower that pleases him best and it receives a voice and is able to join the song of the chorus of bliss .,joy
then they passed over well known spots where the little one had often played and through beautiful gardens full of lovely flowers .,joy
"which of these shall we take with us to heaven to be transplanted there ? "" asked the angel .",joy
close by grew a slender beautiful rose bush but some wicked hand had broken the stem and the half opened rosebuds hung faded and withered on the trailing branches .,sadness
"poor rose bush ! "" said the child "" let us take it with us to heaven that it may bloom above in god ' s garden .",sadness
the angel took up the rose bush; then he kissed the child and the little one half opened his eyes .,joy
the angel gathered also some beautiful flowers as well as a few humble buttercups and heart ' s ease .,joy
"now we have flowers enough "" said the child; but the angel only nodded he did not fly upward to heaven .",joy
there lay fragments of plates pieces of plaster rags old hats and other rubbish not pleasant to see .,anger
amidst all this confusion the angel pointed to the pieces of a broken flower pot and to a lump of earth which had fallen out of it .,sadness
the earth had been kept from falling to pieces by the roots of a withered field flower which had been thrown amongst the rubbish .,sadness
"we will take this with us "" said the angel "" i will tell you why as we fly along .",joy
down in that narrow lane in a low cellar lived a poor sick boy; he had been afflicted from his childhood and even in his best days he could just manage to walk up and down the room on crutches once or twice but no more .,sadness
in this spot the poor sick boy would sit warming himself in the sunshine and watching the red blood through his delicate fingers as he held them before his face .,sadness
then he would say he had been out yet he knew nothing of the green forest in its spring verdure till a neighbor ' s son brought him a green bough from a beech tree .,surprise
this he would place over his head and fancy that he was in the beech wood while the sun shone and the birds carolled gayly .,joy
one spring day the neighbor ' s boy brought him some field flowers and among them was one to which the root still adhered .,surprise
this he carefully planted in a flower pot and placed in a window seat near his bed .,joy
and the flower had been planted by a fortunate hand for it grew put forth fresh shoots and blossomed every year .,joy
it became a splendid flower garden to the sick boy and his little treasure upon earth .,joy
he watered it and cherished it and took care it should have the benefit of every sunbeam that found its way into the cellar from the earliest morning ray to the evening sunset .,joy
the flower entwined itself even in his dreams for him it bloomed for him spread its perfume .,joy
and it gladdened his eyes and to the flower he turned even in death when the lord called him .,joy
he has been one year with god .,sadness
during that time the flower has stood in the window withered and forgotten till at length cast out among the sweepings into the street on the day of the lodgers ' removal .,sadness
and this poor flower withered and faded as it is we have added to our nosegay because it gave more real joy than the most beautiful flower in the garden of a queen .,joy
"but how do you know all this ? "" asked the child whom the angel was carrying to heaven .",surprise
"i know it "" said the angel "" because i myself was the poor sick boy who walked upon crutches and i know my own flower well .",joy
then the child opened his eyes and looked into the glorious happy face of the angel and at the same moment they found themselves in that heavenly home where all is happiness and joy .,joy
and god pressed the dead child to his heart and wings were given him so that he could fly with the angel hand in hand .,joy
then the almighty pressed all the flowers to his heart; but he kissed the withered field flower and it received a voice .,joy
then it joined in the song of the angels who surrounded the throne some near and others in a distant circle but all equally happy .,joy
they all joined in the chorus of praise both great and small the good happy child and the poor field flower that once lay withered and cast away on a heap of rubbish in a narrow dark street .,joy
then he would cry but what nobody knows nobody cares for; so he would cry till he was tired and then fall asleep; and while we are asleep we can feel neither hunger nor thirst .,sadness
if he went near the farmyard belonging to the count he was pushed and knocked about for the men and the maids said he was so horrible ugly; but he was used to all this for nobody loved him .,sadness
her beautiful noble child had been a dear angel and possessed the kindest heart; he had loved her so much and she had loved him in return; they had kissed and loved each other and the boy had been her joy her second life .,joy
certainly he must long to see me too the young count; no doubt he thinks of me and loves me as in those days when he would fling his angel arms round my neck and lisp ' anne liz . ',joy
it was music to my ears .,joy
it was as great and magnificent as it had always been and the garden looked the same as ever; all the servants were strangers to her not one of them knew anne lisbeth nor of what consequence she had once been there; but she felt sure the countess would soon let them know it and her darling boy too : how she longed to see him !,joy
"well well "" he said; and with that he walked out of the room .",anger
anne lisbeth went forth from the castle into the public road feeling mournful and sad; he whom she had nursed day and night and even now carried about in her dreams had been cold and strange and had not a word or thought respecting her .,sadness
"ah "" said she "" what bird of ill omen art thou ?",sadness
she felt very low spirited because her count child had shown no inclination to speak to her who loved him so well and who had travelled so far to see him .,sadness
the journey had cost money too and she had derived no great pleasure from it .,sadness
"the black wretch ! "" said anne lisbeth "" he will end by frightening me today .",anger
"stop ! stop ! "" and the words came quite clear though they were like the croak of a frog or the wail of a bird .",anger
a grave ! dig me a grave !,anger
"he nodded and pointed to anne lisbeth crying out "" hold fast ! hold fast ! and then you may ride again in a nobleman ' s carriage and forget your child .",anger
in the face of anne lisbeth lighted up by the evening sun could be seen peace and rest .,joy
she said she was happy now for she had conquered .,joy
"now i am in the house of god "" she said "" and in that house we are happy .",joy
when the sun set anne lisbeth ' s soul had risen to that region where there is no more pain; and anne lisbeth ' s troubles were at an end .,joy
the branch well knew how beautiful it was; this knowledge exists as much in the leaf as in the blood; i was therefore not surprised when a nobleman ' s carriage in which sat the young countess stopped in the road just by .,joy
she said that an apple branch was a most lovely object and an emblem of spring in its most charming aspect .,joy
"poor despised herbs "" said the apple branch; "" there is really a difference between them and such as i am .",anger
and the apple branch looked with a sort of pity upon them especially on a certain little flower that is found in fields and in ditches .,sadness
"a difference ! "" cried the sunbeam as he kissed the blooming apple branch and then kissed the yellow dandelion out in the fields .",surprise
"you do not see very far nor very clearly "" he said to the apple branch .",anger
which is the despised plant you so specially pity ?,anger
no one ever places it in a nosegay; it is often trodden under foot there are so many of them; and when they run to seed they have flowers like wool which fly away in little pieces over the roads and cling to the dresses of the people .,anger
they are only weeds; but of course there must be weeds .,anger
o i am really very thankful that i was not made like one of these flowers .,joy
there came presently across the fields a whole group of children the youngest of whom was so small that it had to be carried by the others; and when he was seated on the grass among the yellow flowers he laughed aloud with joy kicked out his little legs rolled about plucked the yellow flowers and kissed them in childlike innocence .,joy
"do you see "" said the sunbeam "" do you see the beauty of these flowers ? do you see their powers of giving pleasure ?",joy
"see "" she exclaimed "" how wonderfully god has made this little flower .",joy
i will paint it with the apple branch together .,joy
but inside the church the pastor stood in the pulpit and spoke very loudly and angrily .,anger
he said that all men were wicked and god would punish them for their sins and that the wicked when they died would be cast into hell to burn for ever and ever .,anger
he spoke very excitedly saying that their evil propensities would not be destroyed nor would the fire be extinguished and they should never find rest .,anger
"meanwhile the birds sang merrily outside and the sun was shining so beautifully warm it seemed as though every little flower said : "" god thy kindness towards us all is without limits .",joy
the same evening upon going to bed the pastor noticed his wife sitting there quiet and pensive .,sadness
i am only a woman and a sinner before god but i should not have the heart to let even the worst sinner burn for ever and how could our lord to do so who is so infinitely good and who knows how the wickedness comes from without and within ?,sadness
no i am unable to imagine that although you say so .,surprise
she was buried; two large tears rolled over the cheeks of the earnest man and in the parsonage it was empty and still for its sun had set for ever .,sadness
she fixed her eyes upon him with such a kind and sad expression just as if she wished to say something to him .,sadness
"the pastor raised himself in bed and stretched his arms towards her saying "" not even you can find eternal rest !",surprise
you suffer you best and most pious woman ?,surprise
and can i not obtain rest in the grave for you ?,surprise
"yes therein as i believed as i knew it "" said the pastor "" are living those who are abandoned to the eternal fire .",surprise
"what he thought was sufficiently expressed in his features and movements : "" miserable beggars who are looking in you are nothing in comparison to me .",anger
he is but a poor fool and not doomed to be tortured eternally by fire !,surprise
only a fool !,surprise
he is ill !,surprise
that is madness a joyless madness besieged by fear and dreadful dreams !,surprise
"like a ferocious animal one of them rose out of his sleep and uttered a horrible cry and gave his comrade a violent dig in the ribs with his pointed elbow and this one turned round in his sleep : "" be quiet monster sleep !",anger
this happens every night !,anger
"every night ! "" repeated the other .",anger
yes every night he comes and tortures me !,anger
i myself helped to rescue cattle and things nothing alive burnt except a flight of pigeons which flew into the fire and the yard dog of which i had not thought; one could hear him howl out of the fire and this howling i still hear when i wish to sleep; and when i have fallen asleep the great rough dog comes and places himself upon me and howls presses and tortures me .,sadness
you can snore; you are snoring the whole night and i hardly a quarter of an hour !,anger
and the blood rose to the head of the excited criminal; he threw himself upon his comrade and beat him with his clenced fist in the face .,anger
"wicked matz has become mad again ! "" they said amongst themselves .",anger
"you are killing the unfortunate man "" said the pastor and as he stretched out his hand to protect him who already suffered too much the scene changed .",sadness
"i have it now ! "" said the dead woman .",joy
he talked and told anecdotes and every one listened to him with pleasure not unmingled with awe; but none felt so much respect for him as did the elderly widow of a naval officer .,joy
"i should like to see rome "" she said; "" it must be a lovely city or so many foreigners would not be constantly arriving there .",joy
"an organist ! "" exclaimed the lady who had never heard the word ' obelisk . '",surprise
several of the guests could scarcely forbear laughing and the sculptor would have had some difficulty in keeping his countenance but the smile on his lips faded away; for he caught sight of a pair of dark blue eyes close by the side of the inquisitive lady .,joy
she was a study for the sculptor to contemplate but not to converse with; for she did not speak or at least very seldom .,joy
"i don ' t like that "" was the lady ' s remark .",anger
mr . alfred again spoke of italy and of the glorious colors in italian scenery; the purple hills the deep blue of the mediterranean the azure of southern skies whose brightness and glory could only be surpassed in the north by the deep blue eyes of a maiden; and he said this with a peculiar intonation; but she who should have understood his meaning looked quite unconscious of it which also was charming .,joy
"beautiful italy ! "" sighed some of the guests .",joy
"oh to travel there ! "" exclaimed others .",joy
"charming ! "" echoed from every voice .",joy
"i may perhaps win a hundred thousand dollars in the lottery "" said the naval officer ' s widow; "" and if i do we will travel i and my daughter; and you mr . alfred must be our guide .",joy
we can all three travel together with one or two more of our good friends .,joy
and she nodded in such a friendly way at the company that each imagined himself to be the favored person who was to accompany them to italy .,joy
those deep blue eyes which had been lit up this evening in honor of him must conceal treasures treasures of heart and mind richer than all the glories of rome; and so when he left the party that night he had lost it completely to the young lady .,joy
"the young man felt the truth of the proverb "" still waters run deep : "" and his heart had sunk into their depths .",joy
it was a pleasure to hear alfred describe anything .,joy
"good heavens ! "" she exclaimed .",surprise
oh the poor people !,surprise
and you saw all that with your own eyes ?,surprise
"he placed a pencil sketch on the table; and mamma who had been over powered with the appearance of the colored plates threw a glance at the pale drawing and cried in astonishment "" what did you see it throw up white fire ?",surprise
for a moment alfred ' s respect for kaela ' s mamma underwent a sudden shock and lessened considerably; but dazzled by the light which surrounded kaela he soon found it quite natural that the old lady should have no eye for color .,anger
the betrothed pair were very happy and the mother was happy too .,joy
"you are a true successor of thorwalsden "" she said to alfred; and it seemed to him as if in this instance mamma had said a clever thing .",joy
kaela was silent; but her eyes shone her lips smiled every movement was graceful in fact she was beautiful; that cannot be repeated too often .,joy
